Date,Time,Party Size,Guest Name,Status,Table,Server,Turn Time (min),Tags
4/30/2026,5:45 PM,8,Marsh Party,Cancelled,11,Marco,,VIP
4/30/2026,6:15 PM,2,Garcia Party,Completed,4,Tom,73,
4/30/2026,5:30 PM,2,Fischer Party,No Show,6,Marco,,
4/30/2026,7:45 PM,4,Ortiz Party,Completed,8,Jules,95,VIP
5/1/2026,8:45 PM,2,Kim Party,Completed,3,Tom,98,VIP
5/1/2026,7:00 PM,2,Marsh Party,Completed,4,Marco,93,
5/1/2026,5:00 PM,4,Nguyen Party,No Show,5,Priya,,
5/1/2026,6:00 PM,4,Garcia Party,Completed,2,Marco,98,Anniversary
5/1/2026,7:15 PM,2,Lee Party,Completed,8,Priya,101,Birthday
5/1/2026,9:15 PM,4,Lee Party,Completed,10,Jules,85,VIP
5/1/2026,7:30 PM,2,Brandt Party,Completed,8,Dana,96,
5/1/2026,7:00 PM,4,Smith Party,Completed,3,Marco,90,Window request
5/1/2026,5:30 PM,3,Lee Party,Completed,13,Marco,82,
5/1/2026,8:00 PM,6,Lee Party,Completed,5,Jules,82,Birthday
5/1/2026,9:15 PM,2,Lee Party,Completed,1,Priya,90,Anniversary
5/1/2026,7:00 PM,3,Smith Party,Completed,4,Dana,87,VIP
5/1/2026,6:15 PM,2,Garcia Party,Completed,2,Dana,74,Window request
5/1/2026,6:00 PM,2,Kim Party,Completed,6,Tom,101,
5/2/2026,6:00 PM,6,Nguyen Party,Cancelled,10,Priya,,
5/2/2026,6:15 PM,2,Marsh Party,Completed,2,Marco,93,Window request
5/2/2026,7:30 PM,4,Hayes Party,Completed,1,Tom,136,
5/2/2026,7:45 PM,3,Okafor Party,Completed,7,Jules,103,Window request
5/2/2026,7:45 PM,2,Garcia Party,Completed,10,Jules,83,VIP
5/2/2026,7:30 PM,4,Duval Party,Completed,3,Priya,89,VIP
5/2/2026,7:45 PM,3,Marsh Party,Completed,9,Dana,98,Birthday
5/2/2026,7:30 PM,4,Kim Party,Completed,10,Marco,89,
5/2/2026,7:30 PM,2,Duval Party,Cancelled,1,Dana,,Anniversary
5/2/2026,7:15 PM,4,Hayes Party,Completed,5,Priya,74,
5/2/2026,7:30 PM,3,Lee Party,Completed,7,Marco,113,
5/2/2026,7:15 PM,5,Garcia Party,Completed,7,Priya,73,Birthday
5/2/2026,5:15 PM,2,Garcia Party,Completed,7,Dana,63,
5/2/2026,6:45 PM,2,Ortiz Party,Completed,8,Priya,102,
5/2/2026,6:00 PM,2,Brandt Party,Completed,8,Priya,91,
5/2/2026,7:00 PM,2,Hayes Party,Completed,13,Jules,92,Window request
5/2/2026,7:00 PM,2,Smith Party,Completed,4,Tom,96,
5/2/2026,5:00 PM,2,Lee Party,Completed,13,Marco,98,Anniversary
5/2/2026,7:15 PM,2,Ortiz Party,Completed,2,Tom,97,
5/3/2026,5:30 PM,2,Duval Party,Completed,8,Dana,105,Anniversary
5/3/2026,9:30 PM,6,Duval Party,Completed,12,Jules,95,Anniversary
5/3/2026,5:45 PM,6,Brandt Party,Completed,11,Priya,87,Window request
5/3/2026,9:15 PM,2,Nguyen Party,Completed,8,Priya,104,
5/3/2026,5:30 PM,8,Duval Party,Completed,11,Marco,76,
5/3/2026,6:45 PM,3,Kim Party,Completed,2,Priya,103,Window request
5/3/2026,8:45 PM,3,Kim Party,Completed,1,Tom,68,
5/3/2026,6:45 PM,5,Lee Party,Completed,8,Dana,104,
5/3/2026,7:15 PM,3,Fischer Party,Completed,4,Marco,104,Window request
5/3/2026,7:45 PM,2,Fischer Party,Completed,1,Priya,110,
5/3/2026,8:15 PM,5,Garcia Party,No Show,12,Priya,,
5/3/2026,6:00 PM,3,Duval Party,Completed,4,Dana,90,VIP
5/3/2026,7:15 PM,2,Smith Party,Completed,5,Jules,94,Anniversary
5/3/2026,8:15 PM,5,Hayes Party,Completed,11,Priya,79,Anniversary
5/5/2026,6:45 PM,2,Kim Party,Completed,10,Dana,82,Birthday
5/5/2026,6:45 PM,3,Marsh Party,Completed,1,Jules,83,VIP
5/5/2026,7:00 PM,4,Garcia Party,No Show,10,Priya,,
5/5/2026,7:45 PM,4,Brandt Party,Completed,6,Dana,87,Birthday
5/5/2026,6:15 PM,5,Okafor Party,Completed,11,Tom,89,
5/5/2026,8:30 PM,4,Nguyen Party,Completed,4,Marco,104,
5/6/2026,5:45 PM,3,Duval Party,Completed,4,Marco,109,Anniversary
5/6/2026,7:15 PM,6,Kim Party,Completed,5,Tom,83,
5/6/2026,5:30 PM,4,Fischer Party,Completed,7,Jules,97,
5/6/2026,7:15 PM,5,Duval Party,Completed,8,Dana,78,Regular
5/6/2026,6:30 PM,2,Smith Party,Completed,12,Tom,68,Birthday
5/6/2026,6:30 PM,4,Brandt Party,Completed,2,Marco,94,
5/7/2026,6:15 PM,4,Ortiz Party,Completed,4,Dana,94,Anniversary
5/7/2026,6:15 PM,2,Duval Party,Completed,2,Priya,65,
5/7/2026,7:15 PM,2,Kim Party,Completed,13,Tom,80,
5/7/2026,6:30 PM,2,Ortiz Party,Completed,1,Marco,76,Regular
5/7/2026,8:45 PM,4,Smith Party,Completed,6,Tom,72,Birthday
5/7/2026,9:45 PM,3,Marsh Party,Completed,1,Tom,94,VIP
5/7/2026,7:00 PM,4,Garcia Party,Completed,10,Priya,81,
5/7/2026,8:30 PM,2,Smith Party,Completed,11,Dana,106,
5/7/2026,6:15 PM,4,Lee Party,Completed,7,Marco,92,Window request
5/7/2026,7:00 PM,3,Nguyen Party,Completed,11,Marco,86,
5/7/2026,7:30 PM,3,Lee Party,Cancelled,5,Tom,,
5/7/2026,7:30 PM,5,Garcia Party,Completed,9,Dana,119,Birthday
5/8/2026,9:15 PM,2,Duval Party,Completed,8,Marco,89,Regular
5/8/2026,7:15 PM,4,Okafor Party,Completed,3,Priya,89,Birthday
5/8/2026,5:30 PM,4,Ortiz Party,Completed,5,Jules,95,Birthday
5/8/2026,8:15 PM,4,Okafor Party,Completed,9,Tom,84,
5/8/2026,7:45 PM,4,Hayes Party,Cancelled,2,Jules,,Regular
5/8/2026,8:00 PM,3,Smith Party,Completed,10,Jules,93,Regular
5/8/2026,6:30 PM,4,Marsh Party,Completed,4,Priya,85,
5/8/2026,8:45 PM,2,Ortiz Party,Completed,5,Jules,80,
5/8/2026,5:45 PM,5,Ortiz Party,Completed,11,Tom,74,
5/8/2026,7:15 PM,4,Smith Party,Completed,5,Priya,114,Window request
5/8/2026,7:15 PM,2,Ortiz Party,Completed,5,Priya,94,Birthday
5/8/2026,7:30 PM,2,Fischer Party,Completed,10,Marco,75,
5/8/2026,6:00 PM,4,Duval Party,Completed,3,Dana,100,Regular
5/8/2026,6:30 PM,5,Fischer Party,Completed,11,Dana,82,
5/8/2026,6:45 PM,4,Nguyen Party,Completed,1,Priya,73,
5/8/2026,7:30 PM,2,Lee Party,Completed,12,Tom,93,Window request
5/9/2026,8:30 PM,2,Hayes Party,Completed,3,Tom,100,Birthday
5/9/2026,7:00 PM,2,Smith Party,Completed,2,Jules,75,
5/9/2026,7:45 PM,2,Ortiz Party,Completed,13,Dana,102,Anniversary
5/9/2026,6:00 PM,4,Okafor Party,Completed,4,Tom,96,
5/9/2026,7:00 PM,6,Lee Party,Completed,13,Dana,101,
5/9/2026,5:15 PM,3,Nguyen Party,Completed,2,Priya,88,
5/9/2026,9:45 PM,2,Nguyen Party,Completed,13,Priya,71,
5/9/2026,8:45 PM,4,Brandt Party,Completed,4,Dana,90,Birthday
5/9/2026,6:30 PM,3,Kim Party,No Show,10,Tom,,
5/9/2026,8:30 PM,2,Ortiz Party,Completed,2,Dana,83,Window request
5/9/2026,9:45 PM,2,Brandt Party,Completed,6,Tom,101,
5/9/2026,5:45 PM,6,Duval Party,Completed,9,Dana,81,Regular
5/9/2026,6:45 PM,2,Fischer Party,Completed,9,Marco,95,Window request
5/9/2026,5:45 PM,4,Nguyen Party,Completed,7,Marco,105,Regular
5/9/2026,9:00 PM,6,Hayes Party,Completed,11,Marco,111,
5/9/2026,8:15 PM,4,Lee Party,Completed,6,Jules,108,
5/9/2026,7:15 PM,5,Marsh Party,Completed,13,Jules,111,
5/9/2026,8:15 PM,4,Lee Party,Completed,9,Jules,97,VIP
5/9/2026,9:15 PM,3,Okafor Party,Completed,10,Jules,107,Birthday
5/9/2026,8:15 PM,3,Smith Party,Completed,6,Tom,85,VIP
5/9/2026,9:00 PM,2,Ortiz Party,Completed,12,Priya,75,Anniversary
5/10/2026,9:00 PM,4,Kim Party,No Show,5,Marco,,
5/10/2026,9:45 PM,5,Lee Party,Completed,6,Jules,98,
5/10/2026,6:45 PM,2,Fischer Party,Completed,7,Dana,71,Anniversary
5/10/2026,7:30 PM,2,Duval Party,Completed,2,Marco,71,
5/10/2026,8:00 PM,2,Okafor Party,Completed,5,Jules,94,VIP
5/10/2026,6:30 PM,4,Fischer Party,Completed,4,Marco,79,
5/10/2026,9:30 PM,2,Kim Party,Completed,12,Jules,91,
5/10/2026,6:45 PM,4,Kim Party,Completed,4,Jules,86,Birthday
5/10/2026,5:45 PM,5,Brandt Party,No Show,6,Tom,,
5/10/2026,7:15 PM,4,Smith Party,Completed,4,Tom,104,Birthday
5/12/2026,7:00 PM,4,Marsh Party,Completed,8,Tom,117,
5/12/2026,8:00 PM,3,Okafor Party,Completed,2,Tom,96,
5/12/2026,7:15 PM,4,Kim Party,Completed,11,Tom,87,VIP
5/12/2026,8:30 PM,4,Hayes Party,Completed,6,Dana,81,Regular
5/12/2026,6:00 PM,2,Smith Party,Completed,2,Dana,93,
5/12/2026,7:45 PM,2,Duval Party,Completed,12,Tom,92,VIP
5/13/2026,6:15 PM,2,Kim Party,No Show,13,Dana,,VIP
5/13/2026,6:00 PM,4,Kim Party,Completed,7,Priya,81,
5/13/2026,6:30 PM,4,Hayes Party,Completed,11,Tom,81,
5/13/2026,8:00 PM,4,Okafor Party,Cancelled,4,Dana,,VIP
5/13/2026,5:45 PM,4,Smith Party,Completed,13,Marco,94,Birthday
5/13/2026,8:45 PM,6,Duval Party,Completed,2,Dana,88,Regular
5/14/2026,6:00 PM,4,Brandt Party,Completed,4,Priya,88,
5/14/2026,8:45 PM,4,Kim Party,Completed,10,Tom,110,VIP
5/14/2026,7:15 PM,3,Duval Party,Completed,1,Jules,91,
5/14/2026,7:00 PM,4,Nguyen Party,Completed,8,Marco,98,Anniversary
5/14/2026,7:45 PM,5,Hayes Party,Completed,2,Marco,87,
5/14/2026,9:45 PM,2,Fischer Party,Completed,5,Marco,86,VIP
5/14/2026,6:15 PM,5,Smith Party,Completed,10,Dana,95,
5/14/2026,6:15 PM,2,Brandt Party,Completed,3,Priya,99,
5/14/2026,6:00 PM,6,Kim Party,Completed,2,Marco,103,Regular
5/15/2026,7:45 PM,4,Marsh Party,Completed,9,Tom,117,
5/15/2026,6:00 PM,2,Fischer Party,Completed,8,Dana,83,Window request
5/15/2026,8:15 PM,2,Smith Party,Completed,5,Marco,86,Window request
5/15/2026,6:15 PM,2,Ortiz Party,Completed,5,Priya,109,Regular
5/15/2026,9:45 PM,2,Hayes Party,Completed,2,Marco,97,Regular
5/15/2026,8:45 PM,2,Nguyen Party,Completed,10,Marco,88,
5/15/2026,8:45 PM,4,Ortiz Party,Completed,8,Marco,95,Regular
5/15/2026,5:45 PM,2,Smith Party,Completed,1,Jules,86,Regular
5/15/2026,8:30 PM,4,Marsh Party,Completed,13,Jules,77,Window request
5/15/2026,7:00 PM,4,Brandt Party,Completed,10,Marco,96,
5/15/2026,9:00 PM,2,Smith Party,Completed,2,Tom,86,
5/15/2026,8:30 PM,4,Smith Party,Completed,1,Priya,101,Window request
5/15/2026,5:30 PM,6,Ortiz Party,Completed,10,Dana,90,
5/15/2026,6:45 PM,4,Fischer Party,Completed,13,Jules,54,Window request
5/15/2026,6:15 PM,3,Smith Party,Completed,10,Tom,93,Regular
5/15/2026,7:00 PM,4,Ortiz Party,Cancelled,5,Marco,,VIP
5/15/2026,8:45 PM,2,Duval Party,Completed,12,Dana,90,Anniversary
5/16/2026,8:00 PM,2,Lee Party,Completed,5,Jules,109,Regular
5/16/2026,8:00 PM,4,Duval Party,Completed,9,Priya,98,Regular
5/16/2026,7:00 PM,4,Lee Party,Completed,7,Dana,64,Birthday
5/16/2026,5:30 PM,3,Hayes Party,Completed,13,Jules,104,VIP
5/16/2026,9:45 PM,6,Marsh Party,Completed,11,Marco,86,VIP
5/16/2026,6:30 PM,4,Garcia Party,Completed,7,Tom,86,
5/16/2026,7:45 PM,2,Nguyen Party,Completed,5,Jules,113,Window request
5/16/2026,7:15 PM,4,Kim Party,Completed,6,Jules,105,
5/16/2026,6:00 PM,4,Okafor Party,No Show,12,Priya,,
5/16/2026,7:15 PM,2,Fischer Party,Completed,1,Tom,96,
5/16/2026,7:00 PM,4,Brandt Party,Completed,3,Jules,84,Birthday
5/16/2026,7:15 PM,4,Fischer Party,Cancelled,1,Dana,,
5/16/2026,7:30 PM,6,Duval Party,Completed,5,Marco,90,Anniversary
5/16/2026,6:45 PM,2,Marsh Party,Completed,10,Priya,79,Anniversary
5/16/2026,6:30 PM,2,Okafor Party,Completed,2,Dana,74,Anniversary
5/16/2026,9:45 PM,2,Marsh Party,Completed,9,Priya,88,VIP
5/16/2026,8:45 PM,2,Smith Party,Completed,2,Marco,108,Anniversary
5/16/2026,8:45 PM,4,Hayes Party,Completed,3,Jules,99,Anniversary
5/16/2026,5:30 PM,4,Duval Party,Completed,12,Marco,87,
5/16/2026,6:30 PM,3,Nguyen Party,Completed,11,Jules,91,
5/16/2026,5:45 PM,2,Kim Party,Completed,12,Jules,100,Window request
5/16/2026,9:30 PM,2,Smith Party,Completed,11,Marco,91,Window request
5/17/2026,5:30 PM,5,Hayes Party,Completed,12,Marco,56,
5/17/2026,8:45 PM,5,Garcia Party,Completed,7,Dana,97,
5/17/2026,8:15 PM,4,Hayes Party,Completed,6,Tom,94,
5/17/2026,7:45 PM,4,Duval Party,Cancelled,3,Marco,,VIP
5/17/2026,6:15 PM,2,Fischer Party,Completed,5,Tom,79,Window request
5/17/2026,7:45 PM,3,Nguyen Party,Completed,8,Marco,96,
5/17/2026,5:45 PM,8,Marsh Party,Completed,9,Priya,96,
5/17/2026,6:00 PM,3,Brandt Party,Completed,7,Tom,75,Window request
5/19/2026,9:30 PM,5,Brandt Party,Completed,8,Jules,89,
5/19/2026,5:00 PM,3,Duval Party,Completed,9,Priya,113,Regular
5/19/2026,6:30 PM,4,Lee Party,Completed,10,Marco,81,
5/19/2026,6:15 PM,3,Hayes Party,Completed,6,Jules,93,
5/19/2026,7:15 PM,4,Duval Party,Completed,1,Dana,61,
5/19/2026,7:45 PM,2,Kim Party,Completed,8,Tom,96,
5/20/2026,6:45 PM,2,Hayes Party,Completed,10,Priya,82,Anniversary
5/20/2026,7:00 PM,5,Lee Party,Completed,6,Jules,102,Window request
5/20/2026,7:30 PM,5,Smith Party,Completed,12,Tom,105,
5/20/2026,9:00 PM,5,Fischer Party,Completed,9,Dana,72,Anniversary
5/20/2026,8:00 PM,2,Smith Party,Completed,9,Marco,89,VIP
5/20/2026,5:15 PM,4,Nguyen Party,Completed,1,Tom,62,
5/21/2026,8:00 PM,2,Okafor Party,Completed,4,Priya,103,Window request
5/21/2026,7:15 PM,3,Ortiz Party,Completed,6,Dana,96,Regular
5/21/2026,7:30 PM,2,Smith Party,Completed,1,Marco,90,Birthday
5/21/2026,6:45 PM,2,Fischer Party,Completed,1,Dana,78,Birthday
5/21/2026,7:45 PM,5,Nguyen Party,Completed,3,Jules,90,Window request
5/21/2026,6:30 PM,5,Lee Party,Completed,8,Tom,80,
5/21/2026,7:00 PM,6,Kim Party,Completed,10,Tom,82,
5/21/2026,7:15 PM,5,Smith Party,Completed,3,Tom,95,
5/21/2026,7:45 PM,4,Marsh Party,Completed,3,Jules,103,
5/21/2026,5:30 PM,2,Nguyen Party,Completed,12,Priya,84,
5/21/2026,8:45 PM,4,Hayes Party,Completed,9,Priya,98,
5/21/2026,6:15 PM,3,Marsh Party,Cancelled,7,Marco,,Window request
5/22/2026,7:15 PM,2,Marsh Party,Cancelled,7,Dana,,Anniversary
5/22/2026,6:00 PM,4,Marsh Party,Completed,8,Jules,115,
5/22/2026,7:45 PM,2,Duval Party,Completed,4,Priya,108,Window request
5/22/2026,7:15 PM,4,Fischer Party,Completed,12,Priya,102,Regular
5/22/2026,5:45 PM,4,Fischer Party,Completed,13,Jules,96,Birthday
5/22/2026,8:15 PM,2,Marsh Party,Completed,10,Priya,79,
5/22/2026,7:15 PM,2,Okafor Party,Cancelled,4,Priya,,Birthday
5/22/2026,5:45 PM,4,Nguyen Party,Completed,12,Marco,92,Regular
5/22/2026,7:30 PM,3,Lee Party,Completed,5,Priya,103,VIP
5/22/2026,6:30 PM,4,Duval Party,Completed,12,Priya,117,
5/22/2026,8:15 PM,6,Brandt Party,Completed,11,Tom,77,
5/22/2026,8:30 PM,2,Smith Party,Completed,4,Priya,62,Window request
5/22/2026,5:30 PM,3,Kim Party,Completed,8,Marco,93,Window request
5/22/2026,7:45 PM,4,Smith Party,Completed,5,Tom,105,
5/22/2026,6:45 PM,6,Fischer Party,Completed,6,Priya,107,Anniversary
5/22/2026,7:15 PM,3,Hayes Party,Completed,5,Priya,100,
5/23/2026,5:30 PM,2,Smith Party,Completed,8,Marco,88,
5/23/2026,6:15 PM,2,Smith Party,Completed,1,Dana,84,Anniversary
5/23/2026,8:15 PM,6,Lee Party,Completed,12,Jules,68,Birthday
5/23/2026,7:15 PM,4,Garcia Party,No Show,4,Dana,,
5/23/2026,6:15 PM,3,Okafor Party,Cancelled,11,Tom,,
5/23/2026,8:00 PM,2,Fischer Party,Completed,13,Marco,92,
5/23/2026,9:00 PM,4,Brandt Party,Completed,3,Priya,110,
5/23/2026,6:15 PM,4,Fischer Party,Completed,9,Dana,86,
5/23/2026,6:45 PM,2,Okafor Party,Completed,10,Marco,86,Birthday
5/23/2026,7:15 PM,4,Ortiz Party,No Show,12,Marco,,
5/23/2026,8:15 PM,5,Garcia Party,Completed,7,Jules,91,Window request
5/23/2026,9:45 PM,8,Kim Party,Cancelled,2,Priya,,
5/23/2026,6:30 PM,5,Fischer Party,Completed,9,Priya,97,Anniversary
5/23/2026,8:15 PM,4,Smith Party,Completed,13,Dana,85,
5/23/2026,7:45 PM,2,Kim Party,Completed,5,Jules,96,
5/23/2026,6:15 PM,6,Smith Party,Completed,13,Dana,97,Window request
5/23/2026,8:30 PM,4,Smith Party,Completed,1,Marco,93,Anniversary
5/24/2026,9:45 PM,2,Duval Party,Completed,1,Tom,95,
5/24/2026,8:45 PM,3,Marsh Party,Completed,7,Marco,62,Window request
5/24/2026,9:15 PM,4,Duval Party,Completed,4,Dana,90,
5/24/2026,6:30 PM,4,Marsh Party,Completed,12,Marco,82,Window request
5/24/2026,6:15 PM,3,Lee Party,Completed,12,Tom,102,Window request
5/24/2026,7:30 PM,4,Fischer Party,Completed,2,Jules,77,
5/24/2026,7:00 PM,8,Brandt Party,Completed,7,Dana,67,VIP
5/24/2026,8:30 PM,2,Kim Party,Completed,2,Dana,107,Anniversary
5/24/2026,5:00 PM,2,Duval Party,Completed,11,Dana,95,Birthday
5/24/2026,7:45 PM,5,Smith Party,Completed,5,Jules,82,Window request
5/24/2026,9:15 PM,2,Hayes Party,Completed,4,Priya,84,Birthday
5/24/2026,7:00 PM,4,Garcia Party,Completed,13,Marco,103,Birthday
5/26/2026,6:45 PM,4,Kim Party,Completed,9,Marco,106,
5/26/2026,8:30 PM,2,Garcia Party,Completed,3,Dana,81,
5/26/2026,8:30 PM,4,Brandt Party,Completed,11,Marco,86,
5/26/2026,7:30 PM,5,Marsh Party,Completed,7,Jules,94,
5/26/2026,6:00 PM,4,Lee Party,Cancelled,4,Jules,,
5/26/2026,8:00 PM,4,Hayes Party,Completed,13,Marco,82,Birthday
5/26/2026,6:00 PM,4,Hayes Party,Completed,13,Dana,104,Birthday
5/27/2026,6:15 PM,8,Fischer Party,Completed,13,Marco,75,
5/27/2026,5:00 PM,5,Fischer Party,Completed,5,Priya,87,
5/27/2026,7:00 PM,4,Okafor Party,Completed,6,Dana,85,Regular
5/27/2026,8:00 PM,3,Fischer Party,Completed,6,Priya,78,
5/27/2026,5:15 PM,4,Smith Party,Completed,4,Priya,99,Window request
5/27/2026,7:30 PM,8,Smith Party,Completed,7,Priya,120,
5/27/2026,9:30 PM,2,Kim Party,Completed,13,Dana,119,
5/27/2026,7:15 PM,2,Garcia Party,Completed,7,Jules,98,
5/27/2026,7:15 PM,3,Lee Party,Completed,8,Jules,78,
5/27/2026,8:00 PM,4,Kim Party,Completed,8,Priya,85,Anniversary
5/28/2026,6:45 PM,2,Hayes Party,Completed,8,Tom,92,VIP
5/28/2026,8:15 PM,2,Ortiz Party,Completed,12,Marco,102,
5/28/2026,6:00 PM,4,Marsh Party,Completed,6,Jules,118,
5/28/2026,6:30 PM,4,Hayes Party,Completed,2,Dana,100,
5/28/2026,7:45 PM,3,Okafor Party,Completed,6,Tom,80,VIP
5/28/2026,7:00 PM,2,Hayes Party,Completed,9,Tom,115,Birthday
5/28/2026,8:30 PM,3,Nguyen Party,Completed,6,Tom,93,
